epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4031.73,1.17673,0.91236,1.49576,0.87273,0.92428,0.91167,0.62778,1.08407,0.81566,1.36011,0.000374074,0.000374074,0.000374074
69,4088.88,1.21822,0.93438,1.46725,0.8757,0.91153,0.91064,0.62948,1.0831,0.82828,1.3636,0.000363075,0.000363075,0.000363075
70,4147.35,1.15726,0.87828,1.46733,0.88272,0.91059,0.9132,0.63002,1.07616,0.82727,1.3698,0.000352076,0.000352076,0.000352076
71,4204.8,1.15373,0.86034,1.45726,0.87524,0.9208,0.92035,0.63696,1.08173,0.78549,1.36802,0.000341077,0.000341077,0.000341077
72,4262.26,1.16637,0.91234,1.47819,0.86967,0.91859,0.92209,0.64512,1.05771,0.81787,1.35055,0.000330078,0.000330078,0.000330078
73,4320.61,1.13514,0.89046,1.46083,0.86846,0.92413,0.91923,0.64168,1.0501,0.79939,1.33535,0.000319079,0.000319079,0.000319079
74,4388.64,1.15958,0.88561,1.43988,0.87309,0.9174,0.91543,0.64466,1.03953,0.7928,1.32681,0.00030808,0.00030808,0.00030808
75,4451.64,1.13426,0.88611,1.43695,0.87793,0.91768,0.91863,0.64213,1.03726,0.77783,1.32654,0.000297081,0.000297081,0.000297081
76,4509.44,1.11989,0.86455,1.44429,0.87428,0.92963,0.9193,0.64272,1.03343,0.79674,1.32915,0.000286083,0.000286083,0.000286083
77,4569.92,1.12109,0.84607,1.43635,0.88524,0.92636,0.92367,0.65776,1.01462,0.76199,1.30917,0.000275084,0.000275084,0.000275084
78,4627.1,1.12678,0.87562,1.43777,0.88395,0.93119,0.92659,0.65359,1.03524,0.75972,1.31376,0.000264085,0.000264085,0.000264085
79,4685.5,1.12487,0.87918,1.43292,0.8968,0.92284,0.92822,0.66009,1.02858,0.79831,1.31528,0.000253086,0.000253086,0.000253086
80,4743.17,1.14137,0.8735,1.43019,0.88294,0.93014,0.92585,0.64599,1.03757,0.77665,1.32078,0.000242087,0.000242087,0.000242087
81,4801.18,1.12153,0.8483,1.42422,0.89602,0.92783,0.93005,0.66098,1.0055,0.75653,1.30018,0.000231088,0.000231088,0.000231088
82,4859.34,1.1104,0.83678,1.4004,0.89546,0.9203,0.92754,0.66298,0.99768,0.74728,1.29945,0.000220089,0.000220089,0.000220089
83,4917.26,1.14476,0.85281,1.42065,0.88494,0.92422,0.92228,0.66076,0.98253,0.77026,1.29573,0.00020909,0.00020909,0.00020909
84,4975.14,1.07837,0.83368,1.39556,0.87712,0.92496,0.92629,0.67071,0.98339,0.75297,1.28312,0.000198091,0.000198091,0.000198091
85,5032.69,1.10249,0.85136,1.42033,0.88829,0.92905,0.92641,0.66434,0.97353,0.73708,1.2769,0.000187092,0.000187092,0.000187092
86,5091.35,1.10622,0.83529,1.41292,0.89291,0.92976,0.9299,0.66187,0.97759,0.74131,1.28226,0.000176094,0.000176094,0.000176094
87,5148.71,1.05276,0.80056,1.37309,0.89117,0.93121,0.92936,0.6694,0.98916,0.73096,1.28279,0.000165095,0.000165095,0.000165095
88,5206.04,1.10708,0.87785,1.42976,0.88564,0.93137,0.92858,0.66735,0.99701,0.73943,1.27525,0.000154096,0.000154096,0.000154096
89,5266.36,1.0826,0.84043,1.38325,0.88793,0.93,0.93221,0.67018,0.97295,0.74544,1.2733,0.000143097,0.000143097,0.000143097
90,5336.05,1.09715,0.84792,1.40833,0.88837,0.92832,0.93339,0.66846,0.9807,0.73223,1.28141,0.000132098,0.000132098,0.000132098
91,5392.76,1.04486,0.86487,1.33394,0.88503,0.92838,0.93318,0.6685,0.97346,0.74795,1.27538,0.000121099,0.000121099,0.000121099
92,5453.33,1.04456,0.83369,1.33088,0.88416,0.92697,0.92641,0.64914,1.03493,0.80226,1.30658,0.0001101,0.0001101,0.0001101
93,5509.68,1.04847,0.83655,1.31357,0.87604,0.92459,0.92064,0.65258,1.00593,0.78874,1.27069,9.91012e-05,9.91012e-05,9.91012e-05
94,5566.01,1.04759,0.8142,1.30445,0.8835,0.92733,0.92867,0.66118,0.98814,0.75836,1.25286,8.81023e-05,8.81023e-05,8.81023e-05
95,5622.28,0.99211,0.77375,1.29836,0.889,0.93036,0.93339,0.67034,0.95966,0.74009,1.23765,7.71034e-05,7.71034e-05,7.71034e-05
96,5678.43,1.01063,0.78011,1.28838,0.88909,0.92909,0.93302,0.67654,0.95107,0.72496,1.22331,6.61045e-05,6.61045e-05,6.61045e-05
97,5734.89,0.96448,0.76408,1.28338,0.88901,0.92718,0.93377,0.67799,0.954,0.72433,1.22462,5.51056e-05,5.51056e-05,5.51056e-05
98,5792.08,0.98112,0.76577,1.30685,0.88669,0.93389,0.93511,0.67878,0.94875,0.7216,1.22349,4.41067e-05,4.41067e-05,4.41067e-05
99,5848.33,1.02119,0.78484,1.30046,0.88535,0.93495,0.93582,0.67914,0.94374,0.71992,1.22097,3.31078e-05,3.31078e-05,3.31078e-05
100,5908.52,0.9625,0.73851,1.28071,0.88534,0.93441,0.93596,0.67965,0.94433,0.71863,1.21947,2.21089e-05,2.21089e-05,2.21089e-05
